"cohort_month","month_offset","total_customers","retention_rate"
"1/09/2017 12:00:00 AM","7","10","0.00242130750605327"
"1/09/2017 12:00:00 AM","8","12","0.00290556900726392"
"1/09/2017 12:00:00 AM","9","7","0.00169491525423729"
"1/09/2017 12:00:00 AM","10","11","0.0026634382566586"
"1/09/2017 12:00:00 AM","11","3","0.000726392251815981"
"1/09/2017 12:00:00 AM","12","0","0"
"1/09/2017 12:00:00 AM","13","0","0"
"1/10/2017 12:00:00 AM","0","4470","1"
"1/10/2017 12:00:00 AM","1","31","0.00693512304250559"
"1/10/2017 12:00:00 AM","2","11","0.00246085011185682"
"1/10/2017 12:00:00 AM","3","4","0.000894854586129754"
"1/10/2017 12:00:00 AM","4","10","0.00223713646532438"
"1/10/2017 12:00:00 AM","5","9","0.00201342281879195"
"1/10/2017 12:00:00 AM","6","10","0.00223713646532438"
"1/10/2017 12:00:00 AM","7","16","0.00357941834451902"
"1/10/2017 12:00:00 AM","8","12","0.00268456375838926"
"1/10/2017 12:00:00 AM","9","9","0.00201342281879195"
"1/10/2017 12:00:00 AM","10","9","0.00201342281879195"
"1/10/2017 12:00:00 AM","11","0","0"
"1/10/2017 12:00:00 AM","12","0","0"
"1/11/2017 12:00:00 AM","0","7304","1"
"1/11/2017 12:00:00 AM","1","40","0.00547645125958379"
"1/11/2017 12:00:00 AM","2","28","0.00383351588170865"
"1/11/2017 12:00:00 AM","3","13","0.00177984665936473"
"1/11/2017 12:00:00 AM","4","14","0.00191675794085433"
"1/11/2017 12:00:00 AM","5","13","0.00177984665936473"
"1/11/2017 12:00:00 AM","6","8","0.00109529025191676"
"1/11/2017 12:00:00 AM","7","14","0.00191675794085433"
"1/11/2017 12:00:00 AM","8","10","0.00136911281489595"
"1/11/2017 12:00:00 AM","9","4","0.000547645125958379"
"1/11/2017 12:00:00 AM","10","0","0"
"1/11/2017 12:00:00 AM","11","0","0"
"1/12/2017 12:00:00 AM","0","5487","1"
"1/12/2017 12:00:00 AM","1","14","0.00255148532895936"
"1/12/2017 12:00:00 AM","2","15","0.00273373428102788"
"1/12/2017 12:00:00 AM","3","19","0.00346273008930199"
