"customer_unique_id","days_to_second_order"
"1a13743254d9c8e6360106295947932f","214"
"1a15eecd72a08e1134ba406c7a7998e6","0"
"1a24445f0e6006e4336ecba4ba576e4b","10"
"1a27a558aac4c4bfe3642b8c9bffcf4f","9"
"1a281fe9f53ee457dacd2c9e8ccf861f","327"
"1a29e9f39d667f12684910a8edc4b56c","0"
"1a2ede4e787ad199c46719ecb02d81ea","18"
"1a328a664417dc7cbff0ed7df49f5a3d","404"
"1a68c22c23a52a35f499dbd3c5a020a6","26"
"1ac4011bec2c0d9ce8eceb56bb1142c7","191"
"1ae30e98d81bdf991fa25b52b8142308","0"
"1af3dcbc89998031651925e3994eab18","280"
"1b270bd97f6e1d9af2d5d06f0d4a80e8","0"
"1b2db8ab2d8e7b84b5455736fc9713f2","7"
"1b5720c7b0ee7183c2eafe3dba65111b","33"
"1b6c7548a2a1f9037c1fd3ddfed95f33","11"
"1b6e96ed99cb8d135efe220d761bbd67","298"
"1b765716e166ca699d20c4adc8bb0f7c","9"
"1b7733821d1e0ec8907bbb441271f80b","0"
"1b7b7f9631cd453251d0b328c9b38a2a","482"
"1b95e3fe033836c787689ae4b9516aa3","37"
"1b9d0a0c0fd5211ae01a554419120554","11"
"1bbf6de8bbe287cb474e57d437d72969","0"
"1bcbeccb2851888f299cf9a5dba8553d","56"
"1c4531b533d17f3b316de441268e513c","116"
"1c553721323d2cf153d114724b92118e","68"
"1c628081cb579ed6035b9aa8614e69f4","37"
"1c98969880c8c7c522bc4677dfce9384","186"
"1ca845c3b11ba93c4ac5182ab9c1197e","16"
"1cbda36ee89944baa7a738ddbdc4679a","225"
"1cc48564488184883cc7923b82c7b3f9","0"
"1ce1097b476f97ea37d805251c5c74ba","127"
"1ce879e096d3c38f230acdab7165332e","29"
"1d0be6ff723818bb810023b236405017","125"
"1d2435aa3b858d45c707c9fc25e18779","0"
"1d39a7704cfb79b7cd820bc83e3de161","20"
"1d627d8a6e1e33ea8eeeb7a17d998660","0"
"1d72aaec15863f7532b2dbf4a5c4247d","151"
"1d7e8be24bca64576da891970638bfe3","98"
"1d95a47c2206919e1de2f8ff91065d20","10"
"1da09dd64e235e7c2f29a4faff33535c","71"
"1dcb4c54d17855c39899eb445551501c","252"
"1e05761e47e6a4968ac2ee128b0d42a4","0"
"1e0926e360000226b237bf277aec3380","297"
"1e433d2aca7584032f8f56d51643e605","34"
"1e6dc17adde78e52b6fa5e634f4454e0","0"
